epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1277.94,1.41614,1.45961,1.5562,0.61294,0.61905,0.64007,0.3154,1.68096,1.50485,1.86628,0.0095941,0.0095941,0.0095941
43,1307.41,1.42129,1.43418,1.56127,0.57242,0.63614,0.66668,0.32946,1.66384,1.48886,1.87586,0.0095842,0.0095842,0.0095842
44,1336.43,1.42236,1.4769,1.57384,0.60773,0.57356,0.62802,0.30423,1.68151,1.57793,1.92603,0.0095743,0.0095743,0.0095743
45,1365.96,1.41735,1.4473,1.56648,0.59375,0.67274,0.68366,0.34396,1.59728,1.41743,1.7993,0.0095644,0.0095644,0.0095644
46,1395.64,1.41204,1.42603,1.55913,0.52392,0.55155,0.54283,0.25738,1.87142,1.88829,2.1051,0.0095545,0.0095545,0.0095545
47,1426.65,1.42906,1.47312,1.59327,0.47859,0.56192,0.53459,0.24943,1.88089,1.79538,2.04083,0.0095446,0.0095446,0.0095446
48,1456.53,1.41199,1.44906,1.56589,0.48662,0.48944,0.50709,0.23326,1.89727,2.07707,2.14327,0.0095347,0.0095347,0.0095347
49,1487.49,1.42723,1.46402,1.56487,0.57575,0.69738,0.68743,0.34385,1.60639,1.42235,1.81156,0.0095248,0.0095248,0.0095248
50,1517.33,1.40842,1.41968,1.5645,0.52912,0.54603,0.54409,0.24993,1.89308,1.84153,2.09199,0.0095149,0.0095149,0.0095149
51,1546.62,1.40997,1.43255,1.56359,0.59072,0.61935,0.65026,0.31851,1.63187,1.55631,1.89033,0.009505,0.009505,0.009505
52,1576.02,1.38393,1.4157,1.55336,0.61116,0.58676,0.63346,0.31359,1.66115,1.59402,1.86602,0.0094951,0.0094951,0.0094951
53,1604.99,1.39996,1.41921,1.55281,0.52839,0.65588,0.65813,0.34603,1.58721,1.40203,1.81926,0.0094852,0.0094852,0.0094852
54,1635.01,1.39185,1.41001,1.5564,0.63982,0.63455,0.70084,0.36734,1.55094,1.34699,1.75786,0.0094753,0.0094753,0.0094753
55,1666.09,1.40026,1.40515,1.54885,0.55633,0.53136,0.5458,0.23869,1.95947,2.0196,2.14221,0.0094654,0.0094654,0.0094654
56,1695.98,1.38885,1.40085,1.54375,0.65801,0.62753,0.7092,0.35772,1.59565,1.40802,1.82338,0.0094555,0.0094555,0.0094555
57,1726.73,1.37858,1.38185,1.5315,0.59091,0.69014,0.72143,0.35627,1.62308,1.38314,1.81671,0.0094456,0.0094456,0.0094456
58,1756.98,1.38437,1.36018,1.53766,0.62319,0.65823,0.7188,0.36678,1.58181,1.35306,1.83754,0.0094357,0.0094357,0.0094357
59,1785.92,1.37759,1.37382,1.52837,0.59635,0.60312,0.63246,0.30523,1.73153,1.57351,1.90479,0.0094258,0.0094258,0.0094258
60,1815.09,1.3824,1.38427,1.53653,0.57299,0.56878,0.58513,0.2693,1.75106,1.78341,1.97367,0.0094159,0.0094159,0.0094159
61,1843.92,1.38121,1.38516,1.54318,0.63678,0.68298,0.72979,0.3731,1.60433,1.34603,1.80518,0.009406,0.009406,0.009406
62,1873.23,1.38606,1.36416,1.55133,0.64827,0.68391,0.722,0.37666,1.55244,1.35472,1.78851,0.0093961,0.0093961,0.0093961
63,1904.31,1.37949,1.38421,1.54753,0.65809,0.66899,0.7258,0.36591,1.56244,1.34671,1.76038,0.0093862,0.0093862,0.0093862
64,1934.2,1.37395,1.37213,1.53283,0.59501,0.67234,0.68558,0.35654,1.54967,1.41606,1.77187,0.0093763,0.0093763,0.0093763
65,1964.22,1.389,1.38979,1.53876,0.63808,0.65545,0.70941,0.35291,1.55264,1.46098,1.78545,0.0093664,0.0093664,0.0093664
66,1994.63,1.38038,1.36911,1.53568,0.74107,0.58909,0.70146,0.35231,1.60088,1.36842,1.74606,0.0093565,0.0093565,0.0093565
67,2024.33,1.37307,1.36439,1.53658,0.68846,0.5905,0.69768,0.35318,1.64119,1.41338,1.85775,0.0093466,0.0093466,0.0093466
68,2053.61,1.36733,1.36246,1.53563,0.6617,0.65001,0.71557,0.37256,1.52836,1.38656,1.73434,0.0093367,0.0093367,0.0093367
69,2082.69,1.38368,1.35625,1.52753,0.49133,0.58709,0.57602,0.26721,1.80362,1.79667,2.02336,0.0093268,0.0093268,0.0093268
70,2112.88,1.36339,1.35237,1.53432,0.64577,0.6747,0.73091,0.3895,1.52267,1.28861,1.72685,0.0093169,0.0093169,0.0093169
71,2144.39,1.36668,1.35837,1.52753,0.6552,0.66214,0.73568,0.39244,1.52635,1.32675,1.74025,0.009307,0.009307,0.009307
72,2174.26,1.36438,1.31243,1.51603,0.54722,0.60533,0.63693,0.30657,1.69832,1.50846,1.86422,0.0092971,0.0092971,0.0092971
73,2204.93,1.36896,1.3375,1.52732,0.69069,0.54118,0.67045,0.34103,1.58094,1.46045,1.77397,0.0092872,0.0092872,0.0092872
74,2234.18,1.3641,1.365,1.53302,0.63804,0.68951,0.7215,0.37392,1.57531,1.33364,1.76391,0.0092773,0.0092773,0.0092773
75,2263.38,1.36222,1.34127,1.52172,0.64696,0.65834,0.68712,0.34915,1.61276,1.40245,1.84476,0.0092674,0.0092674,0.0092674
76,2292.65,1.34938,1.34674,1.51722,0.64192,0.61592,0.67437,0.33588,1.62868,1.42563,1.79256,0.0092575,0.0092575,0.0092575
77,2321.72,1.35253,1.32332,1.51009,0.68214,0.61574,0.70186,0.36882,1.56261,1.34193,1.75188,0.0092476,0.0092476,0.0092476
78,2351.66,1.35786,1.35281,1.52285,0.66227,0.62756,0.66269,0.34069,1.63967,1.40134,1.82735,0.0092377,0.0092377,0.0092377
79,2383.25,1.36159,1.32669,1.51807,0.64215,0.65077,0.69173,0.33973,1.67212,1.44475,1.88586,0.0092278,0.0092278,0.0092278
80,2412.81,1.36339,1.3391,1.52955,0.67373,0.61433,0.69859,0.35805,1.62247,1.39157,1.76974,0.0092179,0.0092179,0.0092179
